TimeofDay,AirTemp,Humidity,Dewpoint,BarPres,WindSpeed,SolarRad
15,2.616,76.6,-1.09,102.84,0.78,3.48
30,2.133,79.8,-1,102.85,0.891,3.49
45,2.017,79.1,-1.21,102.84,0.902,3.49
100,1.659,80.2,-1.39,102.84,0.89,3.49
115,1.618,79.3,-1.56,102.84,0.659,3.48
130,1.601,78.8,-1.68,102.84,0.481,3.49
145,2.068,73.9,-2.09,102.84,0.526,3.48
200,2.183,77.1,-1.41,102.84,0.689,3.48
215,1.384,82.2,-1.31,102.85,0.72,3.48
230,2.21,74.7,-1.81,102.87,0.988,3.48
245,2.856,68.64,-2.33,102.88,0.72,3.48
300,2.295,75.1,-1.66,102.88,0.537,3.48
315,1.272,82.1,-1.44,102.89,0.731,3.48
330,1.173,80.4,-1.81,102.88,0.766,3.48
345,0.865,80,-2.2,102.89,0.901,3.48
400,1.455,74.8,-2.54,102.89,0.827,3.48
415,1.603,73.1,-2.7,102.88,0.782,3.48
430,0.952,79.2,-2.25,102.88,0.841,3.48
445,0.038,84.3,-2.3,102.89,0.944,3.48
500,0.27,80.2,-2.75,102.9,0.931,3.48
515,1.169,74.6,-2.83,102.91,1.035,3.48
530,0.653,77,-2.92,102.9,0.916,3.48
545,0.16,81,-2.7,102.92,1.347,3.48
600,0.186,81.1,-2.67,102.92,0.96,3.48
615,0.125,83.4,-2.35,102.93,0.617,3.48
630,0.621,80.3,-2.38,102.94,1.037,3.48
645,0.335,81,-2.54,102.96,1.016,3.48
700,0.177,82.5,-2.43,102.97,0.895,3.48
715,0.479,80.9,-2.41,102.97,0.673,3.52
730,0.482,81.7,-2.27,102.97,0.755,6.12
745,0.865,79.3,-2.3,102.99,0.821,13.61
800,1.207,78.9,-2.04,102.99,0.558,25.57
815,1.644,78.7,-1.66,103,0.447,52.75
830,2.111,76,-1.68,103,0.663,62.98
845,2.906,74.5,-1.19,103.01,0.588,95.5
900,3.801,74.4,-0.31,103,0.447,151.6
915,7.24,63.48,0.75,103.01,0.538,157.7
930,7.68,62.98,1.09,103.03,0.472,184.3
945,9.36,65.03,3.09,103.05,0.516,301.3
1000,12.68,47.04,1.67,103.05,0.586,305.7
1015,13.21,40.81,0.18,103.06,0.62,294.6
1030,14.27,38.49,0.34,103.06,1.356,403.2
1045,15.25,33.65,-0.64,103.07,1.127,469.7
1100,16.02,30.95,-1.12,103.09,1.297,464.6
1115,16.5,32.58,0,103.09,1.323,501.6
1130,16.52,35.09,1.05,103.07,1.325,523.8
1145,16.89,34.01,0.95,103.06,1.849,540.4
1200,17.23,31.72,0.27,103.05,1.507,549.4
1215,17.45,30.37,-0.13,103.02,1.945,559.9
